"","restaurant_name","rating_review","review_id","title_review","review_full","date","city","author_id"
"216030","Ruth_s_Chris_Steak_House",5,"review_347105089","Food was delicious","We had a few bumps with service (poor guy spilt water on my husband, etc.)  Otherwise, the food was delicious and would definitely go back there again maybe even after restaurant week!",2016-02-12,"New_York_City_New_York","UID_137515"
"188486","Beauty_Essex",4,"review_567132863","Amazing food but too loud to hear","I went on a Saturday night. We made reservations 4 weeks ahead. Everything we ordered tasted unbelievable. Cocktails were solid. The service was good. The atmosphere is trendy and gaudy. But it’s really really loud. If it’s an intimate date or catching up with friends, not the best place to chat. If you just want to eat and shut up, highly recommend.",2018-03-17,"New_York_City_New_York","UID_124029"
"102864","Aldea",5,"review_117849051","Amazing","My sister and I took my mom here today, Sept. 8th for her b/day. It was such a great experience:the food was delicious, the service was great, and overall experience was nothing to complain about. Each dish had its own soul, it looked like the chef put his every bit of imagination in making sure we enjoyed it. And we did. I would definitely come here again, may be take my husband for our upcoming anniversary.",2011-09-08,"New_York_City_New_York","UID_77498"
"195161","Tavola",5,"review_207744832","Best Italian Food","First, the place is adorable. Second the staff are attentive and friendly. But, most importantly, the food was absolutely the best. It was so good, we went back a second night. Had pasta with muscles, crab and cod with garlic and olive oil. Second night had lasagna (yum). My friend had pizza and another night fire grilled salmon. Dessert was to die for...pistachio gelato with a hard shell chocolate sitting on whipped cream and sliced strawberries on the side. I could eat that every night. My favorite restaurant during the entire week long visit to NYC.",2014-05-28,"New_York_City_New_York","UID_106983"
"55935","Crave_Fishbar",5,"review_248871696","Amazing ambience, amazing food","I met a girlfriend for dinner here while traveling in NYC. Let me start by saying how cute the restaurant is. The decor has this New England rustic feel with hard wood floors. The restaurant is two levels with full bars on both levels. We sat at a table. The place was packed the entire time we were there and we were there for three hours! The Tuna tartare was an amazing appetizer but the lobster curry with the rice might have been the best meal I have eaten in months. It was a flavor explosion and I was skeptical about ordering it. We then had the pumpkin s'mores for dessert. Everything was flavorful and well made. I highly recommend this place. But, beware, as in everything with NyC the meal was expensive!",2015-01-11,"New_York_City_New_York","UID_46036"
"148999","21_Club",5,"review_625176642","Classic NY","Old fashioned, classic menu, good service, though our main courses were a bit slow. Dover sole was excellent as was the steak. Crab appetizer and shrimp cocktail to start both excellent. Wines superb. Expensive. Fairly noisy. For a special occasion.",2018-10-15,"New_York_City_New_York","UID_2125"
"273805","Wollensky_s_Grill",5,"review_612151114","Wollenskys Wonder","Slid in for a late dinner with no reservation on a Saturday night. My wife and daughter ordered the Fillet prepared table side and I ordered the pork chop. We all decided to split the wedge salad three ways. We were very happy with the quality of the blue cheese dressing and perfect bacon delicious bits. They were very generous in splitting the salad three ways and ensured we all received a slice of tomato and onion with our portion. The food was perfectly prepared and at the right temp.  I highly recommend the Quilt wine they had by the glass with your meal. Looking forward to a return visit in the future... keep it wonderful at Wollenskys! ",2018-08-30,"New_York_City_New_York","UID_148425"
"354513","Blue_Fin",4,"review_374372258","Lunch value ","This was an impromptu lunch stop after striking out at the TKTS booth across the way. We were hungry, disappointed and not too eager to try to brave the Times Square crowds so soon.  A quick search on the gluten-free app showed that this could be an option. We walked across the way to look at the menu, and decided to give it a shot. I mean heck, I love me some seafood, and thankfully, my girls do, too.  Walking in to the foyer, you see a hostess stand, a bar along the back wall, and a large flight of stairs to the left. It was only after we were seated that we realized that the top part of the building was a different restaurant altogether. We weren't given an option at the stand as to which one we wanted to dine in. Maybe because we didn't have reservations? Or maybe we looked too causal, too much like tourists?  Anyway, we were at a small table opposite the door, which was unfortunate in that we got a gust of cold air every time they opened.  Our waiter was friendly enough, but he seemed a bit distracted. They were all running between the bar on our level and the restaurant upstairs, so I'm sure he was just busy.  He did take the time to hear our allergy alert, and to answer our questions. We decided to share the seafood platter (the ""balcony"" version), as well as a spicy tuna roll and a Dynamite roll.  The odd thing is that they brought out pastries to start with. There was a scone, a biscuit and a slice of some kind of carrot cake. Didn't really go with the seafood theme, but of course the two of us who could consume flour ate them.  We were afraid we'd still be hungry after our meal, but it turned out we ordered just enough food; we were satiated without being stuffed.  My favorite thing on the seafood platter was the ceviche. Shame it came in such a small cup! Wait, let me back up.  The platter came with oysters, mussels, squid rings (not fried calamari), crab legs, ceviche and clams. While everything was fresh and tasty, my favorite - as I mentioned - was the ceviche. It was just perfectly prepared, not too citrusy, not too bogged down by other ingredients.  The spicy tuna roll was also very good (my husband would have approved), but the Dynamite roll really wasn't. It was just kind of bland, which was surprising, given all the spice notes rolled up in it.  Overall, it was a good lunch meal to tide us over, and allowed us to feed the seafood urge. Our waiter was friendly enough, but he probably could've used a hand that day. ",2016-05-18,"New_York_City_New_York","UID_68841"
"155130","Comfort_Diner",3,"review_540234868","Was ‘ok’","The place was ok. Food was good, coffee not so much. Cleanliness was questionable. It didn’t have a ‘pass’ for inspection, but simply said ‘rating pending.’",2017-11-11,"New_York_City_New_York","UID_78739"
"151165","Da_Marino_Restaurant",5,"review_290814839","Wonderful","Great service, perfectly cooked and served. Not rushed, a little pricey for Italian, but worth it. Make sure you visit the ladies room-- it's an experience all in itself. I'm very picky about my Italian dishes and this measured up in every way. Great meals all around. ",2015-07-20,"New_York_City_New_York","UID_93935"
"253618","Bobby_Van_s_Steakhouse_50th_Street",5,"review_642641864","Great dinner!! ","This place exceeded my expectations! We had great service, amazing food and the atmosphere was the best. The meals were all prepared well and our server was attentive. This is a NYC must-do!",2018-12-31,"New_York_City_New_York","UID_153924"
"367888","Tia_Pol",5,"review_235075659","Tapas perfection","We were very hungry and decided to try the restaurant out. We didn't order for anything specific but asked the waiter to surprise us. We were served 6 tapas and they were all delicious. The ones that really stuck out were the chicken liver mousse, squid ink with rice, lamb skewers and the sea food salad(a special). It was a bit crowded but the service was equally as good. Definitely one of the best tapas in NYC.",2014-10-18,"New_York_City_New_York","UID_201156"
"49939","Jacob_s_Pickles",3,"review_271858705","Nice place","When we arrived it was stifling and they didn't have a fan or air on.  When they did turn it on, it was bearable.  The food was OK.  When they say,",2015-05-13,"New_York_City_New_York","UID_13436"
"256484","Virgil_s_Real_BBQ_Times_Square",4,"review_734424210","Loved the Barbecue!","We tried the Barbecue Chicken Wings for an appetizer and loved the flavor!  These are not tiny traditional wings, they are quite large with a lot of chicken on them.  The next time I am in NYC I will go to Virgil's!!!",2019-12-24,"New_York_City_New_York","UID_27014"
"470035","Coco_Cru",4,"review_557818243","Delicious ","Had dinner with friends. Nice atmosphere and great service. Jicama salad was delicious and big enough for two. good selection for vegetarians and vegans. loved the fish and chips. the potatoes that came with the steak entree was ""way too salty"". thumbs up for the homemade brownie. will return again. ",2018-02-01,"New_York_City_New_York","UID_125236"
"256815","The_Odeon",5,"review_124964681","One of the Best","Consistently perfect food.  great atmosphere, great mood, agreeable servers.  One of the best french bistros in NYC.  You can't go wrong.  Also has great history as the art world hang out of the 80's.  Warhol, Basquiat, etc...",2012-02-21,"New_York_City_New_York","UID_118979"
"424337","Utsav_Restaurant",5,"review_541762063","Really good Indian Food","The service staff were great & the food was excellent. We wanted to give our friends a taste of India & Utsav made us proud. Our table was ready on time. Fish was one of the items we ordered and it was excellent. The Butter Chicken, the Lamb Rogan Josh and vegetables were all cooked to perfection. Loved the Brel. Dessert was pretty good too.",2017-11-18,"New_York_City_New_York","UID_220774"
"4170","Pure_Thai_Cookhouse",5,"review_325393799","Brilliant","One of the best Thai dishes I've ever tasted, my friend also visits Thailand/Malaysia a lot and agreed! Great vibe about the place, service was amazing and food was fast, best restaurant I've been to in a while, certainly due a visit 🍜",2015-11-08,"New_York_City_New_York","UID_4015"
"236979","Joe_Allen",2,"review_708199223","Limited ","When we arrived we felt invisible, it was sometime before anyone came over, once they did service wasn’t too bad. It would have been nice to know on booking that the kitchen was being renovated, we wouldn’t have booked if we had known. The food that arrived was okay but just okay. Crisps were served instead of french fries due to limited kitchen. The best thing about the restaurant was people watching, it’s a haven for characters.",2019-09-09,"New_York_City_New_York","UID_146936"
"94771","12_Chairs",5,"review_83085533","European style cafe to fell at home","No wonder there is no Starbucks near McDougel Street. There's way too many great individual cafes to stay for half an hour or longer. 12 Chairs is definetly one of them and the cafe latte beats every other I had in NY. The food also was great and the staff very likeable. This cafe is hebrew, however nothing religious. This place feels much more like a European cafe",2010-10-11,"New_York_City_New_York","UID_52088"
"213804","Ai_Fiori",5,"review_375488283","Fabulous food and service in a gorgeous contemporary setting","The food, the service and the surroundings are not to be believed. My wife started with soft shell carbs that melted in your mouth and stimulated the pallet. I began with a pork belly app that was so tender I cut with my fork and savored every bite. The main even for her was the pork filled ravioli with a lucious cream sauce. Mine was the tenderest and leanest veal chop I have ever had! Both entrees were tender, delicious and the p[roper temp. The service was very attentive without hoevring. The drinks were full pours and served quite quickly. An extensive wine and desert list made it all perfect. The fare was a bit high but not outrageous for NYC. A tremendous value in the n]=end. We loved everything about the evening and will make it a regular stop on our 4 - 5 trips a year to NYC. BRAVO! ",2016-05-22,"New_York_City_New_York","UID_136480"
"138111","ABC_Kitchen",4,"review_397559719","Love ABC but now only for lunch.","Second time at ABC, first time I am actually able to book dinner throigh open table ( belive me its not easy!). Love the concept, the relaxed atmosphere , the fresh ingredients ( highly recoomend the beet salad with yogurt). My only complaint is the noise level which is way up there, aking it difficult to carry a conversation. There were anumber of groups so could be a anomaly but my previous experience for lunch was so much more enjoyable. Would definitveky go back...for lunch.",2016-07-26,"New_York_City_New_York","UID_9856"
"458586","Chipotle_Mexican_Grill",4,"review_180245458","Awesome Food !! Chipotle is always good any state. :)","The quantity and quality of the food was amazing. There was no problem in the ambience, and the crowd.",2013-10-08,"New_York_City_New_York","UID_232869"
"256622","Virgil_s_Real_BBQ_Times_Square",5,"review_727130993","Loved it, fantastic BBQ food.","I have to be honest and say that I was a little sceptical, was it going to be style over substance, was it going to be a Times Square tourist trap, was it going to be authentic bbq. I have to say that first impressions were good, when we walked in, the restaurant was packed and there was a really nice vibe. We had to wait 10 minutes for a table. Our server (sadly I forgot his name) talked us through the menu and spoke about the cooking process and how everything is BBQ’d on site. We ordered a sharer plate and I have to say the food was exquisite, fantastic ribs (really sublime and a massive highlight) wonderful pulled pork and chicken, beautiful beef brisket and succulent bbq chicken. We absolutely loved it, had a really fantastic meal and were absolutely stuffed!!! A fantastic bbq experience and it is well worth a visit if you are in NYC. The staff were really friendly and efficient. It is well worth a visit.",2019-11-17,"New_York_City_New_York","UID_155165"
"330316","Nino_s_46",4,"review_625106942","Cozy restaurant","Ate here after work with some coworkers. Ice cold beer was delicious. Our waiter was very helpful and understanding when we took forever to decide what to eat and also to leave. The menu wasn't huge, but a good selection of Italian foods. Would go back",2018-10-15,"New_York_City_New_York","UID_9113"
"507256","OTTO_Enoteca_e_Pizzera",2,"review_307642676","Ugh","Just a hair above lousy. The pepperoni pizza was soggy and had a peculiar taste. No name brand beer, and the beer they did have had a bitter after taste. The service was pretty much wham, bam, eat and scram.",2015-09-06,"New_York_City_New_York","UID_248886"
"180392","Oceana_Restaurant",5,"review_169304494","Seafood Lover's Delight","We dined with friends that we don't often see and had a leisurely dinner at Oceana. The ambience is very upscale and comfortable. The wait staff was friendly and did not rush us. My husband and I enjoyed seafood Paella for two. Delicious! I would go back the next time we are in NY! It is expensive.",2013-07-27,"New_York_City_New_York","UID_88689"
"63296","Marc_Forgione",5,"review_469495541","UH>>>MAZING","There is a mad genius running that line, Andy K.  you're my hero!  What a meal!  What a team, incredible service and I never once felt that I was dining in a space that was over my head.",2017-03-22,"New_York_City_New_York","UID_51289"
"227267","Sparks_Steak_House",4,"review_480938265","Best old school steakhouse","I visited tens of steak houses but this is my favourite , nice prepared negroni. Quick professional service. Wine list like a storybook . You feel like you're in the past. The only negative is that I don't like the waiters splitting there tips just next to our table it doesn't show much respect the way the did that. The Maitre d saw this happing and directly corrected this, but stil...",2017-05-02,"New_York_City_New_York","UID_82560"
"480328","Skyline_Gourmet_Deli",5,"review_533536312","Great breakfast","Stayed at the Skyline Hotel and did not want to pay the high price of breakfast at the restaurant associated with the hotel. So we got our breakfast and great coffee at the Skyline Deli across the street every day and brought it back to our room to eat. Service was fast and food was great. It looked like the locals ate there so that tells it all.",2017-10-16,"New_York_City_New_York","UID_15831"
"322598","Ellen_s_Stardust_Diner",5,"review_659947473","A highlight of our trip","We had so much fun dining here. The food was fine, nothing special, but the performers and the atmosphere were the best. My wife actually slowed down eating and wanted dessert so we could stay longer. The servers/singers were so entertaining and even though the cost of the food must include the entertainment, we tipped our singing server extra. We will be back next time we are in NY.",2019-03-20,"New_York_City_New_York","UID_542"
"230863","Jams",5,"review_483909387","We loved Jams! ","Jams was recommended to us by some friends that had recently visited. It was wonderful! The restaurant is super clean and very cool. Our waiter, Sabuj , was excellent! I would ask to sit I his area. He suggested the pancakes with smoked salmon...AMAZING!! I was leery of ""pancakes"" but wanted to try since it was a specialty. Super delish! Friends had the risotto and chicken and very impressed. Glad I followed this recommendation! ",2017-05-13,"New_York_City_New_York","UID_144219"
"46574","Hourglass_Tavern",5,"review_107817808","Delicious dinner!","On our first trip to NYC we wanted to get away from anything chain related and try all the great food we'd heard so much about.If we hadn't seen positive reviews we might have walked by this small restaurant. On the first floor is...",2011-05-11,"New_York_City_New_York","UID_35019"
"57568","5_Napkin_Burger_Hell_s_Kitchen",3,"review_380718190","The reviews don't make sense","This is a very average place - in some terms sub average. Went in for a late lunch at 2:30pm. We were seated promptly in an almost empty restaurant. Waiter came around asking what we'd like to drink 10 minutes later. Another 10-12 minutes passed before he came back to take our order. That's ridiculous, esp. in a mostly empty restaurant. Food came about 20 minutes later (was the cook out to lunch?). I ordered the classic hamburger with LOTS of onions. I got a normal portion of onions, that's considering I didn't want the cheese or the mayo that comes with it. The burger was good, NOT great. The portion of french fries was miniscule, with many very small and overfried because they were so small. They were also very salty- not an issue for me but it was for my 3 friends. Bottom line, the food was totally average - absolutely nothing special.",2016-06-07,"New_York_City_New_York","UID_47234"
"190614","Spyglass",4,"review_345083521","Great service and cocktails","The view is beautiful and the cocktails and small plates quite good, but it's the service that takes the cake.  A colleague and I stopped here before dinner. The mild Feb. weather brought out the crowds and it was packed. The wonderful bouncer secured us two seats and a table - which he brought specifically for us from another room. Our tired feet were so thankful and we happily sat down to enjoy our beverages and a very yummy avocado panna cotta. The fabulous bouncer noticed we were trying to capture some pix of the Empire State Building - which had beautiful red lights at the top. He brought us out to the patio area - which must be stunning in the warmer months.  The waitstaff was extremely attentive and very cordial - not something I expected in NYC.  I look forward to returning.",2016-02-04,"New_York_City_New_York","UID_125047"
"365349","Cafeteria",5,"review_231813129","Spectacular Late Lunch on a Friday Afternoon","Had the Kale Salad with Walnuts and Parmesean Cheese - was very Yummy -  Opted for Eggs and Bacon for Lunch - Very Good! My daughter had the Spring Roll Mac and Cheese (was amazinf) and the truffle Mac and Cheese, she said it was amazing. the had the nutella Hot Chocolate - that was pretty good too. I want to go back and try some of the other menu items.  The salad was especially delish.",2014-09-30,"New_York_City_New_York","UID_13595"
"439700","Hummus_and_Pita_Co",5,"review_572479827","Great fast food ","The pita was fresh. Chicken shawarma was flavorful - Among the best in NY. Several varieties of hummus - beware some are a bit spicy.  Variety of toppings. Overall great place.",2018-04-10,"New_York_City_New_York","UID_87890"
"506836","Outback_Steakhouse",4,"review_321235008","Cheapest drinks in Manhattan","Cheapest drinks I have ever seen in Manhattan...plus 12.99 for a 6 ounce steak with two sides...What a way to dine. If you're originally from the burbs then this place is definitely worth a visit. I wouldn't order anything to fancy just classic Outback fare like blooming' onions, burgers, steaks etc. Save room as the portions are huge. I was a bit surprised that the thunder from down under was not very good nor did it have enough fudge sauce.. Other than that I was very satisfied.",2015-10-23,"New_York_City_New_York","UID_238889"
"383444","Sarabeth_s_Tribeca",2,"review_402624349","Not impressed","Went there for brunch on a Sunday. Food is somewhat satisfactory by not really, service is okay, in fact nothing is special at this location...look for another alternative, there are many in the neighborhood.",2016-08-07,"New_York_City_New_York","UID_206666"
"371249","The_Spotted_Pig",4,"review_539404892",":-) :-) :-) Unespected burger","My sister went to this place and told me we have to go... what a good advice! As it was the middle of the afternoon, we did not wait to have a table. It is not easy to define this place. A mix of a old brick wall restaurant, a tavern and a gourmet place. It seems incredible  Anyway, we took the burger and the fries and it was incredibly good! So good that we forgot to take a picture:-)",2017-11-08,"New_York_City_New_York","UID_61970"
"503130","McGee_s_Pub_Restaurant",5,"review_477385731","Open late","Good sherpards pie if missing home food. Friendly staff and if Irish pretty good chance of been served all night",2017-04-20,"New_York_City_New_York","UID_31709"
"170674","2nd_Avenue_Deli",4,"review_226779685","Mouth watering pastrami","Absolutely delicious pastrami sandwich. My first choice was ruben, but being rooted in their kosher principles, this was not offered. Unlike other delis with globs of fatty meat and bread soaked in the oils, the pastrami was relatively lean, a moderate mouthful. Soup stock was added to the matzo ball soup at the table to keep the matzo from being saturated in the soup, preserving the fresh matzo taste. Only negative issue was the $15 minimum per person,particularly when 2nd person is not an adult with an appetite. Thus ordered the tongue sandwich, which was equally good, just like the pastrami, a clean fresh pure taste, nothing added but a little deli mustard.",2014-09-03,"New_York_City_New_York","UID_115075"
"474214","Vai",5,"review_249501303","Delicious and fun!","My mom and I found this gem before a show at the beacon theater. Out waitress was so friendly and helpful with picking out our meals- crispy artichokes and buratta ravioli (delic!) and the atmosphere was awesome- rustic and down to earth. We will definitely be back!",2015-01-15,"New_York_City_New_York","UID_82709"
"392844","The_Campbell",4,"review_224293500","Wonderful trip back in time","Very, very fun place to discover in this big, bad city! We enjoyed the experience of finding the door in Grand Central Station where we felt like we had uncovered a treasure. The decor inside is amazing, each inch a work of art. We enjoyed the Punch which was fun, with the cheese and meat platter. Go there and be prepared to spend hours filled with engaging conversation. The place has a wonderful energy.",2014-08-25,"New_York_City_New_York","UID_209777"
"502683","Hard_Rock_Cafe",4,"review_291568112","Coolest memorabilia and kid friendly waitstaff","It was my 7 yr old's first trip to a Hard Rock and she was excited but I was the one who walked away the most wow-ed! The Mac & Cheese was served in a guitar-shaped plate which was pretty cool, the music was fun and not too loud and the waitstaff was so friendly. We sat in a room with Prince's purple velvet jumper, Elton John's outfit with the tassles on the shoulders (you know that ONE outfit with tassles) :), and James Brown's stage suit. Very fun! They also take your picture in front of a wall of guitars and then find you in the restaurant once you've been seated to view it and hopefully buy it. We bought it, $20 for a 5x7 and some 3x5s.",2015-07-22,"New_York_City_New_York","UID_129502"
"342954","Viand_Cafe",5,"review_137930804","great breakfast location","Food was excellent, service was friendly and quick and everything tasty. Location to hotel was within 2 short walking blocks",2012-08-21,"New_York_City_New_York","UID_191401"
"75786","Upland",4,"review_542728019","Great brunch!!","I had the best Eggs Benedict every at Upland.  What a great, fun restaurant.  We all loved our food.  Reservations are a must.",2017-11-22,"New_York_City_New_York","UID_34217"
"176119","Loeb_Boathouse_Central_Park",5,"review_640726898","That steak! Wonderful staff!","My husband and I were told to visit the Loeb boathouse for a quick drink to enjoy the atmosphere and view of Central Park. We decided to wait for a table and enjoy the brunch menu as well. We were lucky enough to snag a seat at the bar and enjoy a drink as it was quite busy and mostly standing room.  Drinks were quite pricey but very good. I ordered an ‘Irish Coffee’ which I was hoping was baileys, but was coffee and whisky and whipped cream. A bit strong for me so I traded my husband for his Cosmopolitan which was delicious!  The restaurant is very big! And when our table was available we were seated right by the window with a gorgeous view of the pond.  There was pianist playing holiday tunes behind us who was very charming and talented. I ordered the filet mignon with poached eggs and gruyere potato pie. And OH MY GOODNESS. This needs to be my last meal on earth. The steak could be cut with a spoon so ‘melt in your mouth’ delicious. And that potato pie! Crunchy, creamy, flavourful bites of heaven.  My husband ordered fish and chips which was huge and incredibly cooked!  The batter on the fish was fantastic! And the fries with chipotle were so flavourful. Although it was incredibly busy our waiter was very attentive and friendly.  You must visit!",2018-12-20,"New_York_City_New_York","UID_117728"
"481887","Famiglia_Pizzeria",4,"review_145095110","Great For a Snack","The pizzas served here are very nice. They were so good that I had three meals there during my week long stay in NYC. However, a word of warning; the garlic bread is VERY strong. I could taste the garlic for about two days after I had eaten there. Overall, a lovely place to grab a quick bite to eat.",2012-11-10,"New_York_City_New_York","UID_20861"
"380457","Periyali",5,"review_4582160","Fabulous Greek!","We just had our second meal at Periyali and it was as fabulous as the first meal.. Don't miss the octopus appetizer- I mopped up all of the sauce with the wonderful bread. The Greek spreads- taramsolata, tsatiki and melazane are some of the best that I have ever had. We were the only walk-ins on a Friday night- but we were treated very well. Our waiter was wonderful. Don't miss this place!",2006-03-03,"New_York_City_New_York","UID_205698"
"351984","Empire_Diner",5,"review_573537306","Good Food Great Service","As a fan of all things Art Deco I knew I had to try this place when i saw its streamline diner car design and I wasn't disappointed. I got the New York Pastrami and it was very tasty. It came on toasted marble rye with purple cabbage a very healthy serving of pastrami topped with spicy mustard that gave just the right amount of bite. The side of fries was good and paired with a Black Hog Brew a very satisfying dining experience. Even though I ate at the bar staff was very attentive to my needs.",2018-04-15,"New_York_City_New_York","UID_195287"
"204768","Beauty_Essex",2,"review_250310321","Good food but rushed out of our seats","I like the entry which is through a thrift store into a bar. Our waitress was nice, made some good suggestions. You order a few plates for each course which was a nice way to do it. The desserts were amazing. That's all the good stuff done, now for the rest of the review: My number one gripe I'll start with - the cheque arrived WITH the dessert, we weren't even asked if we wanted anything else. I understand tables need to be turned as we were at 18:30 seating and we weren't a high spending table but maybe try making it a bit less obvious. Back to the start - hosts greeted us with grumpy faces, definitely going for the ""let's make this place feel exclusive by treating everyone like they're worthless"" vibe. Shame as I love American hospitality normally. Our starters arrived within 5 minutes of us ordering and were quickly cleared away to bring the rest, and then our whole bottle of wine was emptied into our glasses. Didn't mean we drank it any faster much to the waitresses disgust but couldn't believe how obvious they are at trying to get you to order more.  Again, desserts were amazing, it's a shame a whole meal isn't rated by the dessert because the cheesecake and donuts were to die for.",2015-01-21,"New_York_City_New_York","UID_85279"
"209335","Loeb_Boathouse_Central_Park",3,"review_377788192","Let down by service","The view was lovelyThe food was goodThe service was terrible - I suspect this was just our server - AlejandreReally let down our experience....Would go again but would ensure we had a friendly server!!",2016-05-29,"New_York_City_New_York","UID_10128"
"221713","The_Palm_Palm_West",4,"review_285781368","Palm restaurant, Manhattan","This restaurant was excellent both for its cuisine and service. The menu was varied but on the expensive side. We were fortunate to get a table without booking so I would recommend booking first. The only thing I would say that slightly put me off ordering food was that they stated the amlunt of calories in each meal - something I would rather not know when out for a meal!",2015-07-05,"New_York_City_New_York","UID_101346"
